type,name,size,i,time,verification
sorting,nativo,1,0,0.000004,1
sorting,nativo,1,1,0.000001,1
sorting,nativo,1,2,0.000002,1
sorting,nativo,1,3,0.000001,1
sorting,nativo,1,4,0.000001,1
sorting,nativo,1,5,0.000001,1
sorting,nativo,1,6,0.000001,1
sorting,nativo,1,7,0.000001,1
sorting,nativo,1,8,0.000001,1
sorting,nativo,1,9,0.000001,1
sorting,nativo,1,10,0.000001,1
sorting,nativo,1,11,0.000001,1
sorting,nativo,1,12,0.000001,1
sorting,nativo,1,13,0.000001,1
sorting,nativo,1,14,0.000001,1
sorting,nativo,1,15,0.000001,1
sorting,nativo,1,16,0.000001,1
sorting,nativo,1,17,0.000001,1
sorting,nativo,1,18,0.000001,1
sorting,nativo,1,19,0.000001,1
sorting,nativo,1,20,0.000002,1
sorting,nativo,1,21,0.000001,1
sorting,nativo,1,22,0.000001,1
sorting,nativo,1,23,0.000001,1
sorting,nativo,1,24,0.000001,1
sorting,nativo,1,25,0.000001,1
sorting,nativo,1,26,0.000001,1
sorting,nativo,1,27,0.000002,1
sorting,nativo,1,28,0.000003,1
sorting,nativo,1,29,0.000002,1
sorting,nativo,1,30,0.000001,1
sorting,nativo,1,31,0.000002,1
sorting,nativo,1,32,0.000002,1
sorting,nativo,1,33,0.000002,1
sorting,nativo,1,34,0.000002,1
sorting,nativo,1,35,0.000002,1
sorting,nativo,1,36,0.000002,1
sorting,nativo,1,37,0.000003,1
sorting,nativo,1,38,0.000003,1
sorting,nativo,1,39,0.000003,1
sorting,nativo,2,0,0.000001,1
sorting,nativo,2,1,0.000002,1
sorting,nativo,2,2,0.000003,1
sorting,nativo,2,3,0.000003,1
sorting,nativo,2,4,0.000003,1
sorting,nativo,2,5,0.000002,1
sorting,nativo,2,6,0.000003,1
sorting,nativo,2,7,0.000002,1
sorting,nativo,2,8,0.000002,1
sorting,nativo,2,9,0.000002,1
sorting,nativo,2,10,0.000001,1
sorting,nativo,2,11,0.000003,1
sorting,nativo,2,12,0.000002,1
sorting,nativo,2,13,0.000002,1
sorting,nativo,2,14,0.000002,1
sorting,nativo,2,15,0.000002,1
sorting,nativo,2,16,0.000003,1
sorting,nativo,2,17,0.000002,1
sorting,nativo,2,18,0.000004,1
sorting,nativo,2,19,0.000002,1
sorting,nativo,2,20,0.000001,1
sorting,nativo,2,21,0.000002,1
sorting,nativo,2,22,0.000002,1
sorting,nativo,2,23,0.000002,1
sorting,nativo,2,24,0.000003,1
sorting,nativo,2,25,0.000003,1
sorting,nativo,2,26,0.000003,1
sorting,nativo,2,27,0.000003,1
sorting,nativo,2,28,0.000003,1
sorting,nativo,2,29,0.000003,1
sorting,nativo,2,30,0.000002,1
sorting,nativo,2,31,0.000003,1
sorting,nativo,2,32,0.000002,1
sorting,nativo,2,33,0.000002,1
sorting,nativo,2,34,0.000003,1
sorting,nativo,2,35,0.000003,1
sorting,nativo,2,36,0.000003,1
sorting,nativo,2,37,0.000002,1
sorting,nativo,2,38,0.000003,1
sorting,nativo,2,39,0.000002,1
sorting,nativo,4,0,0.000002,1
sorting,nativo,4,1,0.000002,1
sorting,nativo,4,2,0.000002,1
sorting,nativo,4,3,0.000002,1
sorting,nativo,4,4,0.000002,1
sorting,nativo,4,5,0.000002,1
sorting,nativo,4,6,0.000002,1
sorting,nativo,4,7,0.000002,1
sorting,nativo,4,8,0.000002,1
sorting,nativo,4,9,0.000002,1
sorting,nativo,4,10,0.000001,1
sorting,nativo,4,11,0.000002,1
sorting,nativo,4,12,0.000002,1
sorting,nativo,4,13,0.000002,1
sorting,nativo,4,14,0.000002,1
sorting,nativo,4,15,0.000001,1
sorting,nativo,4,16,0.000002,1
sorting,nativo,4,17,0.000012,1
sorting,nativo,4,18,0.000002,1
sorting,nativo,4,19,0.000002,1
sorting,nativo,4,20,0.000002,1
sorting,nativo,4,21,0.000002,1
sorting,nativo,4,22,0.000001,1
sorting,nativo,4,23,0.000001,1
sorting,nativo,4,24,0.000002,1
sorting,nativo,4,25,0.000002,1
sorting,nativo,4,26,0.000002,1
sorting,nativo,4,27,0.000002,1
sorting,nativo,4,28,0.000002,1
sorting,nativo,4,29,0.000002,1
sorting,nativo,4,30,0.000001,1
sorting,nativo,4,31,0.000001,1
sorting,nativo,4,32,0.000002,1
sorting,nativo,4,33,0.000002,1
sorting,nativo,4,34,0.000002,1
sorting,nativo,4,35,0.000002,1
sorting,nativo,4,36,0.000002,1
sorting,nativo,4,37,0.000002,1
sorting,nativo,4,38,0.000001,1
sorting,nativo,4,39,0.000002,1
sorting,nativo,8,0,0.000003,1
sorting,nativo,8,1,0.000002,1
sorting,nativo,8,2,0.000002,1
sorting,nativo,8,3,0.000002,1
sorting,nativo,8,4,0.000002,1
sorting,nativo,8,5,0.000002,1
sorting,nativo,8,6,0.000002,1
sorting,nativo,8,7,0.000002,1
sorting,nativo,8,8,0.000002,1
sorting,nativo,8,9,0.000001,1
sorting,nativo,8,10,0.000002,1
sorting,nativo,8,11,0.000002,1
sorting,nativo,8,12,0.000001,1
sorting,nativo,8,13,0.000002,1
sorting,nativo,8,14,0.000002,1
sorting,nativo,8,15,0.000002,1
sorting,nativo,8,16,0.000002,1
sorting,nativo,8,17,0.000002,1
sorting,nativo,8,18,0.000001,1
sorting,nativo,8,19,0.000002,1
sorting,nativo,8,20,0.000002,1
sorting,nativo,8,21,0.000002,1
sorting,nativo,8,22,0.000002,1
sorting,nativo,8,23,0.000004,1
sorting,nativo,8,24,0.000002,1
sorting,nativo,8,25,0.000001,1
sorting,nativo,8,26,0.000002,1
sorting,nativo,8,27,0.000002,1
sorting,nativo,8,28,0.000002,1
sorting,nativo,8,29,0.000002,1
sorting,nativo,8,30,0.000001,1
sorting,nativo,8,31,0.000002,1
sorting,nativo,8,32,0.000002,1
sorting,nativo,8,33,0.000002,1
sorting,nativo,8,34,0.000002,1
sorting,nativo,8,35,0.000002,1
sorting,nativo,8,36,0.000001,1
sorting,nativo,8,37,0.000002,1
sorting,nativo,8,38,0.000002,1
sorting,nativo,8,39,0.000002,1
sorting,nativo,16,0,0.000004,1
sorting,nativo,16,1,0.000004,1
sorting,nativo,16,2,0.000003,1
sorting,nativo,16,3,0.000004,1
sorting,nativo,16,4,0.000003,1
sorting,nativo,16,5,0.000003,1
sorting,nativo,16,6,0.000004,1
sorting,nativo,16,7,0.000003,1
sorting,nativo,16,8,0.000003,1
sorting,nativo,16,9,0.000004,1
sorting,nativo,16,10,0.000002,1
sorting,nativo,16,11,0.000002,1
sorting,nativo,16,12,0.000002,1
sorting,nativo,16,13,0.000002,1
sorting,nativo,16,14,0.000002,1
sorting,nativo,16,15,0.000002,1
sorting,nativo,16,16,0.000001,1
sorting,nativo,16,17,0.000002,1
sorting,nativo,16,18,0.000002,1
sorting,nativo,16,19,0.000002,1
sorting,nativo,16,20,0.000002,1
sorting,nativo,16,21,0.000002,1
sorting,nativo,16,22,0.000002,1
sorting,nativo,16,23,0.000002,1
sorting,nativo,16,24,0.000002,1
sorting,nativo,16,25,0.000001,1
sorting,nativo,16,26,0.000002,1
sorting,nativo,16,27,0.000002,1
sorting,nativo,16,28,0.000002,1
sorting,nativo,16,29,0.000002,1
sorting,nativo,16,30,0.000002,1
sorting,nativo,16,31,0.000002,1
sorting,nativo,16,32,0.000002,1
sorting,nativo,16,33,0.000001,1
sorting,nativo,16,34,0.000002,1
sorting,nativo,16,35,0.000002,1
sorting,nativo,16,36,0.000002,1
sorting,nativo,16,37,0.000002,1
sorting,nativo,16,38,0.000002,1
sorting,nativo,16,39,0.000002,1
sorting,nativo,32,0,0.000006,1
sorting,nativo,32,1,0.000006,1
sorting,nativo,32,2,0.000007,1
sorting,nativo,32,3,0.000006,1
sorting,nativo,32,4,0.000006,1
sorting,nativo,32,5,0.000007,1
sorting,nativo,32,6,0.000006,1
sorting,nativo,32,7,0.000006,1
sorting,nativo,32,8,0.000006,1
sorting,nativo,32,9,0.000007,1
sorting,nativo,32,10,0.000002,1
sorting,nativo,32,11,0.000002,1
sorting,nativo,32,12,0.000002,1
sorting,nativo,32,13,0.000002,1
sorting,nativo,32,14,0.000002,1
sorting,nativo,32,15,0.000002,1
sorting,nativo,32,16,0.000002,1
sorting,nativo,32,17,0.000002,1
sorting,nativo,32,18,0.000002,1
sorting,nativo,32,19,0.000002,1
sorting,nativo,32,20,0.000002,1
sorting,nativo,32,21,0.000002,1
sorting,nativo,32,22,0.000002,1
sorting,nativo,32,23,0.000002,1
sorting,nativo,32,24,0.000002,1
sorting,nativo,32,25,0.000002,1
sorting,nativo,32,26,0.000002,1
sorting,nativo,32,27,0.000002,1
sorting,nativo,32,28,0.000002,1
sorting,nativo,32,29,0.000002,1
sorting,nativo,32,30,0.000002,1
sorting,nativo,32,31,0.000002,1
sorting,nativo,32,32,0.000002,1
sorting,nativo,32,33,0.000002,1
sorting,nativo,32,34,0.000001,1
sorting,nativo,32,35,0.000002,1
sorting,nativo,32,36,0.000002,1
sorting,nativo,32,37,0.000002,1
sorting,nativo,32,38,0.000002,1
sorting,nativo,32,39,0.000002,1
sorting,nativo,64,0,0.000015,1
sorting,nativo,64,1,0.000015,1
sorting,nativo,64,2,0.000014,1
sorting,nativo,64,3,0.000014,1
sorting,nativo,64,4,0.000013,1
sorting,nativo,64,5,0.000014,1
sorting,nativo,64,6,0.000014,1
sorting,nativo,64,7,0.000013,1
sorting,nativo,64,8,0.000014,1
sorting,nativo,64,9,0.000013,1
sorting,nativo,64,10,0.000012,1
sorting,nativo,64,11,0.000011,1
sorting,nativo,64,12,0.000011,1
sorting,nativo,64,13,0.000011,1
sorting,nativo,64,14,0.000010,1
sorting,nativo,64,15,0.000011,1
sorting,nativo,64,16,0.000011,1
sorting,nativo,64,17,0.000011,1
sorting,nativo,64,18,0.000010,1
sorting,nativo,64,19,0.000010,1
sorting,nativo,64,20,0.000003,1
sorting,nativo,64,21,0.000003,1
sorting,nativo,64,22,0.000003,1
sorting,nativo,64,23,0.000003,1
sorting,nativo,64,24,0.000003,1
sorting,nativo,64,25,0.000003,1
sorting,nativo,64,26,0.000003,1
sorting,nativo,64,27,0.000003,1
sorting,nativo,64,28,0.000003,1
sorting,nativo,64,29,0.000003,1
sorting,nativo,64,30,0.000003,1
sorting,nativo,64,31,0.000003,1
sorting,nativo,64,32,0.000003,1
sorting,nativo,64,33,0.000003,1
sorting,nativo,64,34,0.000002,1
sorting,nativo,64,35,0.000003,1
sorting,nativo,64,36,0.000003,1
sorting,nativo,64,37,0.000003,1
sorting,nativo,64,38,0.000002,1
sorting,nativo,64,39,0.000003,1
sorting,nativo,128,0,0.000033,1
sorting,nativo,128,1,0.000041,1
sorting,nativo,128,2,0.000033,1
sorting,nativo,128,3,0.000032,1
sorting,nativo,128,4,0.000046,1
sorting,nativo,128,5,0.000039,1
sorting,nativo,128,6,0.000030,1
sorting,nativo,128,7,0.000031,1
sorting,nativo,128,8,0.000030,1
sorting,nativo,128,9,0.000029,1
sorting,nativo,128,10,0.000025,1
sorting,nativo,128,11,0.000024,1
sorting,nativo,128,12,0.000023,1
sorting,nativo,128,13,0.000024,1
sorting,nativo,128,14,0.000025,1
sorting,nativo,128,15,0.000024,1
sorting,nativo,128,16,0.000024,1
sorting,nativo,128,17,0.000027,1
sorting,nativo,128,18,0.000040,1
sorting,nativo,128,19,0.000038,1
sorting,nativo,128,20,0.000005,1
sorting,nativo,128,21,0.000005,1
sorting,nativo,128,22,0.000004,1
sorting,nativo,128,23,0.000004,1
sorting,nativo,128,24,0.000003,1
sorting,nativo,128,25,0.000004,1
sorting,nativo,128,26,0.000004,1
sorting,nativo,128,27,0.000004,1
sorting,nativo,128,28,0.000004,1
sorting,nativo,128,29,0.000004,1
sorting,nativo,128,30,0.000003,1
sorting,nativo,128,31,0.000004,1
sorting,nativo,128,32,0.000004,1
sorting,nativo,128,33,0.000004,1
sorting,nativo,128,34,0.000004,1
sorting,nativo,128,35,0.000004,1
sorting,nativo,128,36,0.000004,1
sorting,nativo,128,37,0.000005,1
sorting,nativo,128,38,0.000004,1
sorting,nativo,128,39,0.000003,1
sorting,nativo,256,0,0.000072,1
sorting,nativo,256,1,0.000069,1
sorting,nativo,256,2,0.000070,1
sorting,nativo,256,3,0.000069,1
sorting,nativo,256,4,0.000068,1
sorting,nativo,256,5,0.000069,1
sorting,nativo,256,6,0.000069,1
sorting,nativo,256,7,0.000068,1
sorting,nativo,256,8,0.000068,1
sorting,nativo,256,9,0.000068,1
sorting,nativo,256,10,0.000059,1
sorting,nativo,256,11,0.000058,1
sorting,nativo,256,12,0.000058,1
sorting,nativo,256,13,0.000056,1
sorting,nativo,256,14,0.000056,1
sorting,nativo,256,15,0.000060,1
sorting,nativo,256,16,0.000057,1
sorting,nativo,256,17,0.000056,1
sorting,nativo,256,18,0.000057,1
sorting,nativo,256,19,0.000056,1
sorting,nativo,256,20,0.000006,1
sorting,nativo,256,21,0.000006,1
sorting,nativo,256,22,0.000006,1
sorting,nativo,256,23,0.000006,1
sorting,nativo,256,24,0.000007,1
sorting,nativo,256,25,0.000007,1
sorting,nativo,256,26,0.000007,1
sorting,nativo,256,27,0.000006,1
sorting,nativo,256,28,0.000006,1
sorting,nativo,256,29,0.000007,1
sorting,nativo,256,30,0.000007,1
sorting,nativo,256,31,0.000006,1
sorting,nativo,256,32,0.000006,1
sorting,nativo,256,33,0.000006,1
sorting,nativo,256,34,0.000006,1
sorting,nativo,256,35,0.000006,1
sorting,nativo,256,36,0.000006,1
sorting,nativo,256,37,0.000006,1
sorting,nativo,256,38,0.000006,1
sorting,nativo,256,39,0.000006,1
sorting,nativo,512,0,0.000159,1
sorting,nativo,512,1,0.000153,1
sorting,nativo,512,2,0.000155,1
sorting,nativo,512,3,0.000168,1
sorting,nativo,512,4,0.000166,1
sorting,nativo,512,5,0.000152,1
sorting,nativo,512,6,0.000153,1
sorting,nativo,512,7,0.000152,1
sorting,nativo,512,8,0.000154,1
sorting,nativo,512,9,0.000184,1
sorting,nativo,512,10,0.000131,1
sorting,nativo,512,11,0.000128,1
sorting,nativo,512,12,0.000127,1
sorting,nativo,512,13,0.000125,1
sorting,nativo,512,14,0.000128,1
sorting,nativo,512,15,0.000148,1
sorting,nativo,512,16,0.000122,1
sorting,nativo,512,17,0.000122,1
sorting,nativo,512,18,0.000123,1
